TransactionID,ProductID,Quantity
TR001,PR010,2
TR001,PR048,2
TR001,PR007,2
TR001,PR004,3
TR002,PR008,3
TR002,PR016,2
TR003,PR038,3
TR003,PR029,3
TR003,PR028,3
TR004,PR024,1
TR005,PR004,2
TR005,PR020,1
TR005,PR047,2
TR005,PR036,3
TR005,PR031,1
TR006,PR001,1
TR007,PR050,3
TR007,PR022,1
TR007,PR034,1
TR008,PR024,2
TR008,PR048,1
TR008,PR026,3
TR009,PR023,1
TR009,PR005,1
TR009,PR002,2
TR010,PR035,1
TR010,PR017,1
TR011,PR017,1
TR011,PR009,3
TR011,PR023,3
TR012,PR042,3
TR012,PR013,2
TR013,PR023,1
TR013,PR040,2
TR013,PR038,2
TR013,PR002,1
TR013,PR041,2
TR014,PR020,1
TR014,PR027,2
TR015,PR027,1
TR015,PR003,1
TR015,PR036,3
TR015,PR037,1
TR015,PR005,1
TR016,PR030,2
TR016,PR035,3
TR017,PR040,1
TR017,PR049,3
TR017,PR004,3
TR018,PR044,1
TR018,PR050,1
TR018,PR039,1
TR019,PR044,2
TR020,PR037,2
TR020,PR017,1
TR020,PR024,3
TR020,PR043,1
TR020,PR032,3
TR021,PR049,1
TR021,PR019,3
TR021,PR021,1
TR022,PR021,2
TR022,PR037,3
TR022,PR007,1
TR022,PR019,2
TR022,PR004,1
TR023,PR036,3
TR023,PR003,1
TR023,PR017,3
TR023,PR023,2
TR023,PR025,3
TR024,PR049,3
TR024,PR017,1
TR024,PR005,3
TR024,PR008,1
TR024,PR044,2
TR025,PR015,3
TR025,PR033,2
TR025,PR035,1
TR025,PR037,2
TR026,PR030,2
TR027,PR021,2
TR027,PR015,2
TR027,PR002,2
TR027,PR032,3
TR027,PR001,2
TR028,PR013,1
TR028,PR021,2
TR028,PR033,2
TR029,PR004,2
TR030,PR029,1
TR030,PR003,3
TR030,PR017,3
TR031,PR024,2
TR032,PR027,3
TR032,PR007,3
TR032,PR040,1
TR032,PR021,1
TR033,PR020,2
TR033,PR001,2
TR034,PR004,3
TR034,PR034,2
TR034,PR015,1
TR035,PR046,2
TR036,PR023,1
TR037,PR014,1
TR037,PR015,1
TR037,PR036,3
TR037,PR039,1
TR037,PR039,3
TR038,PR043,2
TR038,PR008,3
TR039,PR005,3
TR039,PR009,1
TR040,PR022,2
TR040,PR010,3
TR040,PR039,1
TR041,PR029,3
TR041,PR015,2
TR041,PR022,1
TR041,PR013,1
TR041,PR035,1
TR042,PR008,1
TR042,PR011,1
TR042,PR046,1
TR042,PR020,3
TR042,PR001,2
TR043,PR023,2
TR043,PR026,2
TR043,PR042,2
TR043,PR032,1
TR044,PR045,1
TR045,PR044,2
TR046,PR024,2
TR046,PR028,3
TR047,PR029,1
TR047,PR042,3
TR047,PR042,2
TR048,PR028,1
TR048,PR037,2
TR048,PR049,3
TR048,PR028,1
TR049,PR022,3
TR050,PR042,2
TR051,PR030,3
TR051,PR034,2
TR052,PR001,2
TR052,PR049,2
TR052,PR029,2
TR052,PR032,1
TR052,PR039,3
TR053,PR002,3
TR054,PR045,1
TR054,PR012,3
TR054,PR027,3
TR054,PR050,2
TR055,PR006,1
TR055,PR006,1
TR055,PR012,3
TR055,PR048,2
TR055,PR010,1
TR056,PR035,1
TR057,PR016,3
TR057,PR005,2
TR057,PR012,3
TR058,PR024,3
TR058,PR026,2
TR058,PR019,1
TR059,PR042,3
TR059,PR047,2
TR060,PR026,3
TR060,PR017,3
TR060,PR012,3
TR060,PR026,2
TR060,PR019,3
TR061,PR001,3
TR061,PR032,3
TR061,PR025,1
TR061,PR013,2
TR062,PR033,3
TR062,PR050,1
TR063,PR037,1
TR063,PR046,3
TR064,PR015,2
TR065,PR014,1
TR065,PR030,2
TR065,PR007,3
TR065,PR040,2
TR066,PR041,1
TR067,PR021,1
TR067,PR042,3
TR067,PR032,2
TR068,PR050,2
TR068,PR007,2
TR068,PR048,3
TR068,PR050,1
TR068,PR040,2
TR069,PR024,1
TR069,PR013,3
TR069,PR012,1
TR070,PR032,2
TR070,PR012,3
TR071,PR038,2
TR071,PR034,1
TR071,PR029,3
TR072,PR033,1
TR073,PR016,2
TR073,PR015,3
TR073,PR033,3
TR073,PR004,2
TR074,PR017,3
TR074,PR049,2
TR074,PR015,2
TR074,PR027,3
TR074,PR031,1
TR075,PR020,1
TR075,PR031,2
TR075,PR007,3
TR076,PR010,2
TR077,PR013,2
TR077,PR030,3
TR077,PR021,2
TR077,PR020,2
TR078,PR016,3
TR078,PR030,2
TR079,PR041,3
TR079,PR032,2
TR079,PR039,3
TR079,PR049,3
TR080,PR046,1
TR080,PR018,1
TR080,PR009,1
TR080,PR010,3
TR080,PR026,1
TR081,PR031,3
TR081,PR047,1
TR081,PR040,3
TR081,PR048,3
TR082,PR029,2
TR082,PR035,1
TR083,PR022,1
TR083,PR021,2
TR083,PR031,1
TR083,PR047,1
TR083,PR039,1
TR084,PR001,1
TR084,PR031,3
TR085,PR006,3
TR085,PR014,2
TR085,PR017,3
TR086,PR017,3
TR086,PR029,3
TR087,PR031,1
TR087,PR006,2
TR087,PR050,2
TR087,PR034,2
TR088,PR014,1
TR089,PR003,3
TR089,PR014,2
TR089,PR017,3
TR089,PR039,2
TR090,PR046,1
TR090,PR033,1
TR090,PR016,2
TR090,PR048,1
TR090,PR008,2
TR091,PR007,3
TR091,PR020,3
TR092,PR046,1
TR093,PR015,1
TR094,PR034,2
TR095,PR045,2
TR095,PR022,2
TR095,PR026,1
TR096,PR046,3
TR096,PR009,2
TR096,PR017,1
TR096,PR005,1
TR096,PR012,3
TR097,PR029,3
TR097,PR039,3
TR097,PR015,1
TR097,PR029,3
TR097,PR006,1
TR098,PR038,1
TR098,PR043,2
TR099,PR017,3
TR099,PR044,1
